_id,name
656b5fe61da41f18450dcc4a,"Giày Thể Thao Asics Court MZ Cream Black Gum, giày Asics đế xám, đế nâu, giày thể thao nam nữ cổ thấp, tăng chiều cao."
656c9a62755ccc9adf9335df,Giày adidas UltraBoost 22 Heat.RDY
656d7ce9ce3290bece595de7,Điện thoại Apple iPhone 15 Pro Max 256GB
656d7dffce3290bece595fb7,Ốp Lưng Silicon MagSafe cho iPhone 15 Pro Max
656d7ea0ce3290bece595ff3,Ốp Lưng Trong Suốt MagSafe cho iPhone 15 Pro Max
656d7fa8ce3290bece59602c,Điện thoại Apple iPhone 14 Plus 128GB
656d804dce3290bece596082,Sạc Apple 20W USB-C Power Adapter
656d811dce3290bece59627b,Cáp sạc Apple USB-C 60W Woven Charge Cable (1m)
656d849cce3290bece596442,"Điện thoại thông minh POCO C65 | 6.71"" IPS LCD HD+| Helio G95| 5000mAh"
656d85f5ce3290bece596694,"Điện thoại Xiaomi 13T (12+256GB) 6.67""| MediaTek Dimensity 8200| 5000mAh"
656d8715ce3290bece596786,Đồng hồ thông minh Xiaomi Smart Band 8
656d89475419c75413f3e7ad,Đồng hồ thông minh Xiaomi Smart Band 8 Active
656d8b035419c75413f3e9f2,Bộ Sạc Nhanh Xiaomi 33W Chính Hãng - Mi Charge Turbo - Bảo Hành 6T
656d8bee5419c75413f3ea99,"Điện thoại Redmi Note 12 AMOLED 6.67"" FHD+| Snapdragon® 685| 5000mAh"
656d92b35419c75413f3f449,"Thùng 12 Chai Nước Ngọt Có Gaz Pepsi (1,5L/chai)"
656d933c5419c75413f3f53a,Thùng 24 Chai Nước Tăng Lực Sting Dâu (330ml/chai)
656d93885419c75413f3f562,Thùng 24 Chai Nước Giải Khát Revive (500ml/chai)
656d93ef5419c75413f3f58a,Thùng 24 Lon Nước Ngọt Có Gaz Pepsi (320ml/lon)
656d945c5419c75413f3f5b2,Thùng 24 Chai Nước Ngọt Có Gaz 7Up (390ml/chai)
656d94dc5419c75413f3f70a,Thùng 24 Chai Nước Ngọt Có Gaz Pepsi Vị Chanh Không Calo (390ml /chai)
656d95835419c75413f3f931,Thùng 24 Chai Trà Ô long Tea+ (320 ml/chai)
656d95f75419c75413f3fa39,Combo 2 Thùng 24 Chai Nước tinh khiết Aquafina (500ml/chai)
656d970b5419c75413f400df,Sách - Totto Chan Bên Cửa Sổ (Tái Bản 2019)
656d97a55419c75413f40108,Sách - Chưa Kịp Lớn Đã Phải Trưởng Thành - Quyển 2 (Phiên Bản Song Ngữ Việt-Trung)
656d98025419c75413f40130,Sách - Trốn Lên Mái Nhà Để Khóc - SKY
656d98955419c75413f40160,Sách Cách nền kinh tế vận hành
656d99415419c75413f40188,Sách - Tư Duy Phản Biện
656d99ee5419c75413f401b0,Sách - Lịch Sử Thế Giới Theo Dòng Sự Kiện - Từ Thời Đồ Đá Tới Thời Hiện Đại (TB 2023)
656d9a545419c75413f401d9,Sách - Chiến thắng lịch sử Điện Biên Phủ năm 1954 giảng dạy và học tập trong nhà trường phổ thông
656d9ab55419c75413f40201,Sách 30 Năm Chiến Tranh Cách Mạng Việt Nam (1945-1975)
656d9b7b5419c75413f40242,Sách Cuộc đời kỳ lạ của Nikola Tesla
656dfcc29439ef247ac07059,Đồng hồ nam chính hãng I&W Carnival 721 721G 721GT dây cao su máy cơ Seiko mặt kính sapphire nguyên khối
656dfd589439ef247ac0708c,Dây Da Dây Cao Su Đồng Hồ Nam Chính Hãng Carnival Cao Cấp
656dfe159439ef247ac070bf,Đồng hồ nam chính hãng I&W Carnival 711 711G dây thép không gỉ máy cơ tự động Miyota mặt kính sapphire nguyên khối
656e00659439ef247ac071c3,Đồng hồ Casio Nam Dây Kim Loại Vintage A168WGG-1BDF Chính Hãng
656e00f59439ef247ac071f6,Đồng hồ nam dây kim loại CASIO A158WA-1DF chính hãng
656e01729439ef247ac07229,Đồng hồ nam dây kim loại chính hãng Casio MTP-V006D-1BUDF
656e02c39439ef247ac072a4,Đồng Hồ Casio Nam Dây Nhựa GSHOCK GA-2100-1A1 Chính Hãng
656e03969439ef247ac072d7,Đồng Hồ Casio Nam Dây Nhựa Chính Hãng GSHOCK GBD-200SM-1A5
656e04549439ef247ac0730a,Đồng hồ casio nữ dây nhựa BABYG BGD-565S-7DR chính hãng
